Position,Company,Loc_city,Loc_state,Loc_zip,CompanyReviews,Link
Data Analyst / Data Scientist,NA,New York,NY,,,https://www.indeed.com/jobs?q=Python+Data&start=40['/rc/clk?jk=17edf4f45397c435&fccid=fd3bad61fc50422e']
Data Analyst,"
Pattern Energy",Houston,TX,,6 reviews,https://www.indeed.com/jobs?q=Python+Data&start=40['/rc/clk?jk=485a5194ae6b0f65&fccid=557c679bf3fb6df4']
"Data Scientist/Quantitative Analyst, Engineering, University Graduate","
Google",Mountain View,CA,,"1,897 reviews",https://www.indeed.com/jobs?q=Python+Data&start=40['/rc/clk?jk=2ca399fcb9b780fb&fccid=a5b4499d9e91a5c6']
Machine Learning Intern (Summer 2018),"
Philips Lighting",Cambridge,MA,,103 reviews,https://www.indeed.com/jobs?q=Python+Data&start=40['/rc/clk?jk=0341b40d9c2a7665&fccid=1f2c2b3d3eb76a15']
BI Analyst,NA,New York,NY,,,https://www.indeed.com/jobs?q=Python+Data&start=40['/rc/clk?jk=c2e7c0890997224d&fccid=f4e698e538f7e069']
L2- Jr. SQL Developer,"
Gartner, Inc.",New York,NY,,174 reviews,https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=2a89e198b0e09af1&fccid=be293f1def77a963']
Senior Big Data Engineer,"
Sumeru Solutions",Reston,VA,,2 reviews,https://www.indeed.com/jobs?q=Python+Data&start=50['/rc/clk?jk=1e546898a9a5bea2&fccid=017a5fb77d5b9c10']
Data Analyst,"
Morgan Stanley",New York,NY,10032,"2,183 reviews",https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=4dddbde72abcfecf&fccid=0c39fb2c91742dcf']
"2018 Summer Data Science Intern - Mountain View, CA",NA,Mountain View,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=b0af7765b2ba21d9&fccid=ee2b5444462c7d6e']
Senior Data Scientist: Health Outcomes,"
Cigna",Raleigh,NC,,"2,638 reviews",https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=22dd1c3591f4a099&fccid=afbf8c270610a38a']
Spark Developer with Python/Machine Learning,"
Intellisoft Technologies",San Antonio,TX,,3 reviews,https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=b894349908de297d&fccid=05ad63010de5c43f']
Statistician,"
Microsoft",Redmond,WA,98052,"3,736 reviews",https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=100b7beb53440d65&fccid=734cb5a01ee60f80']
Software Engineering and Data Analytics Intern (Summer 2018),"
Philips Lighting",Cambridge,MA,,103 reviews,https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=acc5670a45c150d6&fccid=1f2c2b3d3eb76a15']
Machine Learning Researcher Intern,"
Amazon.com",Seattle,WA,,"19,881 reviews",https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=e179547d8d0f276e&fccid=fe2d21eef233e94a']
Python Developer,"
Booz Allen Hamilton",Herndon,VA,,"1,319 reviews",https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=e661df359ec7452e&fccid=4e041af1d0af1bc8']
Product Analyst,"
ezCater",Boston,MA,2110,10 reviews,https://www.indeed.com/jobs?q=Python+Data&start=80['/rc/clk?jk=d5c30a9fce974da2&fccid=78da2ac6605fb492']
"Data Engineer, Junior","
Booz Allen Hamilton",Herndon,VA,,"1,319 reviews",https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=b6e087584db8cce2&fccid=4e041af1d0af1bc8']
Data Analyst - Entry Level,"
Auto-Owners Insurance",Lansing,MI,,124 reviews,https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=9c18fe3a8685b8fe&fccid=aba7dc3b3bb596d2']
"Data Scientist/Quantitative Analyst, Engineering, University Graduate","
Google",Mountain View,CA,,"1,897 reviews",https://www.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=2ca399fcb9b780fb&fccid=a5b4499d9e91a5c6']
Business Intelligence Analyst,"
adMarketplace",New York,NY,,11 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=00168016e5c19d37&fccid=3b2b55df6cade29d']
Business Intelligence Analyst,"
DBRS",New York,NY,10005,4 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=989db2bd0e6dfbad&fccid=3885a630003d7e58']
Data Science Intern (Summer 2018),"
Philips Lighting",Cambridge,MA,,103 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=f76f50dd0d376358&fccid=1f2c2b3d3eb76a15']
Data Analyst,"
CGI",Washington,DC,,"1,485 reviews",https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=785c927506c941fd&fccid=d2841a5c0380b93d']
Product Analyst,"
Lending Club",San Francisco,CA,94105,42 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=d2e534cf1887a75e&fccid=f0087c9c775936fe']
Data Scientist,"
C.H. Robinson",Eden Prairie,MN,55347,596 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=6c6cef2f58936d2a&fccid=090a7d416d718609']
Product Analyst,"
Safe Auto Insurance Company",Columbus,OH,,70 reviews,https://www.indeed.com/jobs?q=Python+Data&start=120['/rc/clk?jk=0288d016de0f2f6c&fccid=b549669f69c3a54f']
"Data Analyst, Junior","
Booz Allen Hamilton",Herndon,VA,,"1,319 reviews",https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=e5aec294ea8d107b&fccid=4e041af1d0af1bc8']
Data Analyst,"
Corning",Painted Post,NY,14870,337 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=5f422307ea68bcc7&fccid=31bebfb78bc1f0f1']
Data Science Intern,"
Intel",Phoenix,AZ,85018,"2,911 reviews",https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=c55eaa81a01bb4ce&fccid=f1374be6a45f4b8a']
Data Engineer,"
NAMCO BANDAI",Santa Clara,CA,,5 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=2b94cfebbe166e02&fccid=a953334cacac2970']
Data Engineer,"
Intellipro Group Inc.",Santa Clara,CA,,5 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=a6ea2f6502ac6f3a&fccid=0b2283bbea07e089']
Data Engineer,"
Walmart eCommerce",Sunnyvale,CA,,76 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=f8f01734aea3f1c9&fccid=8c49e99f20f89e48']
Data Analyst,"
GoHealth",Chicago,IL,60654,92 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=f88c22fe8e746319&fccid=2a4fe3a1dadb70c2']
Product Data Analyst,"
Hulu",Seattle,WA,,36 reviews,https://www.indeed.com/jobs?q=Python+Data&start=130['/rc/clk?jk=bcee6e8ea515a917&fccid=6824fc1f087bd63e']
2018 GDI&A Entry Level Data Scientist / Analyst,"
Ford Motor Company",Dearborn,MI,48121,"3,780 reviews",https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=0d320d8655c60b09&fccid=761c44c17d636bfe']
Jr Data Modeler/ETL Developer,"
Leidos",Bethesda,MD,20813,347 reviews,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=c162456304f7345a&fccid=8765a4045377753a']
Data Engineer,NA,Mountain View,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=9e707c09047db4c0&fccid=3cb101265ee8b094']
Data Engineer,"
BMW North America",Mountain View,CA,,"1,631 reviews",https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=3157f4bbde03b27e&fccid=145f77b9f76cf553']
Data Engineer,NA,Mountain View,CA,94043,,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=cac7eeb802e43056&fccid=2e171013841e8a05']
Data Engineer,NA,Mountain View,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=d918fd7a85666f8b&fccid=5a41b08a1f7f1794']
Data Engineer,NA,Palo Alto,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=aa706ad959078f89&fccid=3df1bc56cfc00123']
"Payments Business Intelligence, App Store Analytics","
Apple",Santa Clara Valley,CA,,"4,517 reviews",https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=e86266290947b9cb&fccid=c1099851e9794854']
Data Engineer,"
National Oilwell Varco",Houston,TX,,"1,901 reviews",https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=a6bb8c41255f31e2&fccid=0059806ce5dabd16']
Business Intelligence Analyst,"
Favor",Austin,TX,,61 reviews,https://www.indeed.com/jobs?q=Python+Data&start=100['/rc/clk?jk=47cbee2617681de9&fccid=a7eccf38f43eb999']
Jr. Data Engineer,NA,Chicago,IL,,,https://www.indeed.com/jobs?q=Python+Data&start=100['/rc/clk?jk=31b3de5d0c78611a&fccid=9c2be00e2f57adbd']
Business Intelligence Analyst,"
Comcast",New York,NY,10001,"9,267 reviews",https://www.indeed.com/jobs?q=Python+Data&start=100['/rc/clk?jk=8e4e5dcd09ba5cf7&fccid=ea25315ee9da22e5']
Product Analyst,NA,San Francisco,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=100['/rc/clk?jk=97bfaf1df56fe981&fccid=33780a8fa2b64a22']
Business Intelligence Analyst,"
etouch systems",Fremont,CA,94555,3 reviews,https://www.indeed.com/jobs?q=Python+Data&start=100['/rc/clk?jk=d7198e5daea7efe8&fccid=e776681589ed26bc']
